Begin_Date,Title,Company,Station,Epesodes,Character_count,Character_count_no_space
4/9/17,エロマンガ先生,A-1 Pictures,TOKYO MX、BS11ほか,12,7,7
4/9/17,有頂天家族2,P.A.WORKS,TOKYO MX,12,6,6
4/9/17,ID-0,サンジゲン,TOKYO MX、KBS京都,12,4,4
4/10/17,ゼロから始める魔法の書,WHITE FOX,AT-X、TOKYO MX、BSフジほか,12,11,11
4/10/17,恐竜少女ガウ子,アセンション,TOKYO MX,10,7,7
4/10/17,妖精ランドむかし話,6次元アニメーション,TOKYO MX,12,9,9
4/11/17,覆面系ノイズ,ブレインズ・ベース,TOKYO MX,12,6,6
4/11/17,終末なにしてますか? 忙しいですか? 救ってもらっていいですか?,サテライト、C2C,AT-X、TOKYO MXほか,12,32,30
4/12/17,夏目友人帳 陸,朱夏,TX,11,7,6
4/12/17,喧嘩番長 乙女 -Girl Beats Boys-,project No.9、A-Real,TOKYO MX、SUN,12,25,21
4/12/17,Room Mate 〜One Room side M〜,颱風グラフィックス,TOKYO MXほか,12,27,22
